Count,Date,BTC / USDT price,Token name,24h price change %,Trade,Trade price,Comission,Profit %,Profit total %
1,20-01-2023 16:25:22,21194,ATM,32.911,BUY,4.2,0.042,-0.01,-0.01
2,20-01-2023 16:28:28,21216.11,ATM,31.861,SELL,4.18,0.0418,-0.4862,-0.4962
3,20-01-2023 16:31:32,21238.28,,0,,,0,0,-0.4962
4,20-01-2023 16:34:37,21232.03,MOB,20.457,BUY,1.16,0.0116,-0.01,-0.5062
5,20-01-2023 16:37:43,21284.85,MOB,18.117,SELL,1.154,0.0115,-0.5272,-1.0334
6,20-01-2023 16:40:51,21280.09,MAGIC,20.673,BUY,0.8499,0.0085,-0.01,-1.0434
7,20-01-2023 16:43:57,21298.42,,20.753,,,0,0,-1.0434
8,20-01-2023 16:47:04,21309.43,MAGIC,19.762,SELL,0.8466,0.0085,-0.3983,-1.4417
9,20-01-2023 16:50:09,21353.16,,0,,,0,0,-1.4417
10,20-01-2023 16:53:15,21389.8,,0,,,0,0,-1.4417
11,20-01-2023 16:56:22,21361.27,HOOK,21.828,BUY,1.906,0.0191,-0.01,-1.4517
12,20-01-2023 16:59:28,21294.07,,22.518,,,0,0,-1.4517
13,20-01-2023 17:02:34,21346.1,HOOK,20.671,SELL,1.8844,0.0188,-1.1433,-2.595
14,20-01-2023 17:05:39,21377.18,,0,,,0,0,-2.595
15,20-01-2023 17:08:45,21388.4,,0,,,0,0,-2.595
16,20-01-2023 17:11:53,21384.78,ATM,24.528,BUY,3.96,0.0396,-0.01,-2.605
17,20-01-2023 17:15:02,21359.13,,24.843,,,0,0,-2.605
18,20-01-2023 17:18:06,21390.66,ATM,25,SELL,3.95,0.0395,-0.2625,-2.8675
19,20-01-2023 17:21:12,21384.86,APT,18.246,BUY,9.1292,0.0913,-0.01,-2.8775
20,20-01-2023 17:24:18,21362.68,APT,18.376,SELL,9.114,0.0911,-0.1765,-3.054
21,20-01-2023 17:27:24,21349.32,MAGIC,16.574,BUY,0.8377,0.0084,-0.01,-3.064
22,20-01-2023 17:30:31,21342.49,MAGIC,16.273,SELL,0.8374,0.0084,-0.0458,-3.1098
23,20-01-2023 17:33:36,21344.14,,0,,,0,0,-3.1098
24,20-01-2023 17:36:41,21311.51,HOOK,21.23,BUY,1.893,0.0189,-0.01,-3.1198
25,20-01-2023 17:39:45,21319.5,,21.933,,,0,0,-3.1198
26,20-01-2023 17:42:50,21358.38,,22.331,,,0,0,-3.1198
27,20-01-2023 17:45:55,21342.29,HOOK,21.871,SELL,1.9007,0.019,0.3968,-2.7231
28,20-01-2023 17:49:01,21313.95,ATM,25.312,BUY,4.01,0.0401,-0.01,-2.7331
29,20-01-2023 17:52:09,21358.98,ATM,25,SELL,4,0.04,-0.2594,-2.9924
30,20-01-2023 17:55:16,21367.74,,0,,,0,0,-2.9924
31,20-01-2023 17:58:23,21373.12,,0,,,0,0,-2.9924
32,20-01-2023 18:01:28,21381.9,,0,,,0,0,-2.9924
33,20-01-2023 18:04:33,21393.14,,0,,,0,0,-2.9924
34,20-01-2023 18:07:38,21360.69,APT,18.586,BUY,9.1904,0.0919,-0.01,-3.0024
35,20-01-2023 18:10:44,21336.29,APT,17.389,SELL,9.1,0.091,-0.9936,-3.9961
36,20-01-2023 18:13:49,21353.42,,0,,,0,0,-3.9961
37,20-01-2023 18:16:54,21415.27,,0,,,0,0,-3.9961
38,20-01-2023 18:19:59,21327.44,HBAR,21.08,BUY,0.0695,0.0007,-0.01,-4.0061
39,20-01-2023 18:23:05,21312.1,HBAR,19.792,SELL,0.069,0.0007,-0.7294,-4.7355
40,20-01-2023 18:26:10,21319.54,,0,,,0,0,-4.7355
41,20-01-2023 18:29:18,21327.44,,0,,,0,0,-4.7355
42,20-01-2023 18:32:25,21339.9,,0,,,0,0,-4.7355
43,20-01-2023 18:35:31,21344.99,,0,,,0,0,-4.7355
44,20-01-2023 18:38:36,21378.07,,0,,,0,0,-4.7355
45,20-01-2023 18:41:45,21373.05,HOOK,22.034,BUY,1.9152,0.0192,-0.01,-4.7455
46,20-01-2023 18:44:54,21385.75,HOOK,21.534,SELL,1.9082,0.0191,-0.3755,-5.121
47,20-01-2023 18:48:03,21379.82,ATM,27.044,BUY,4.04,0.0404,-0.01,-5.131
48,20-01-2023 18:51:11,21392.69,,27.358,,,0,0,-5.131
49,20-01-2023 18:54:18,21388.54,,26.959,,,0,0,-5.131
50,20-01-2023 18:57:25,21375.3,ATM,26.73,SELL,4.03,0.0403,-0.2575,-5.3885
51,20-01-2023 19:00:33,21390.8,,0,,,0,0,-5.3885
52,20-01-2023 19:03:44,21365.15,APT,18.343,BUY,9.1723,0.0917,-0.01,-5.3985
53,20-01-2023 19:06:52,21395.27,,19.091,,,0,0,-5.3985
54,20-01-2023 19:10:00,21384.05,APT,18.343,SELL,9.1715,0.0917,-0.0187,-5.4172
55,20-01-2023 19:13:06,21393.84,,0,,,0,0,-5.4172
56,20-01-2023 19:16:13,21392.71,HBAR,18.998,BUY,0.0689,0.0007,-0.01,-5.4272
57,20-01-2023 19:19:20,21365.21,,19.204,,,0,0,-5.4272
58,20-01-2023 19:22:27,21380.69,,19.344,,,0,0,-5.4272
59,20-01-2023 19:25:34,21398.89,,19.138,,,0,0,-5.4272
60,20-01-2023 19:28:42,21379.73,HBAR,18.276,SELL,0.0686,0.0007,-0.4454,-5.8726
61,20-01-2023 19:31:51,21376.06,HOOK,23.555,BUY,1.9434,0.0194,-0.01,-5.8826
62,20-01-2023 19:34:59,21374.1,,23.257,,,0,0,-5.8826
63,20-01-2023 19:38:04,21397.24,,23.756,,,0,0,-5.8826
64,20-01-2023 19:41:09,21404.12,HOOK,22.852,SELL,1.937,0.0194,-0.3393,-6.222
65,20-01-2023 19:44:15,21424.2,,0,,,0,0,-6.222
66,20-01-2023 19:47:25,21386.86,ATM,24.528,BUY,3.96,0.0396,-0.01,-6.232
67,20-01-2023 19:50:31,21410.21,,24.843,,,0,0,-6.232
68,20-01-2023 19:53:36,21480.82,ATM,24.606,SELL,3.95,0.0395,-0.2625,-6.4945
69,20-01-2023 19:56:42,21476.51,RNDR,21.185,BUY,0.675,0.0068,-0.01,-6.5045
70,20-01-2023 19:59:47,21488.62,RNDR,20.324,SELL,0.669,0.0067,-0.8989,-7.4034
71,20-01-2023 20:02:56,21560.75,,0,,,0,0,-7.4034
72,20-01-2023 20:06:07,21943.35,,0,,,0,0,-7.4034
73,20-01-2023 20:09:12,21885.87,APT,24.951,BUY,9.7804,0.0978,-0.01,-7.4134
74,20-01-2023 20:12:18,21866.39,APT,24.75,SELL,9.7562,0.0976,-0.2574,-7.6708
75,20-01-2023 20:15:24,21863.63,HBAR,21.993,BUY,0.071,0.0007,-0.01,-7.6808
76,20-01-2023 20:18:32,21869.02,,22.547,,,0,0,-7.6808
77,20-01-2023 20:21:39,21889.19,,27.367,,,0,0,-7.6808
78,20-01-2023 20:24:44,21901.85,,32.53,,,0,0,-7.6808
79,20-01-2023 20:27:49,21826.03,,33.966,,,0,0,-7.6808
80,20-01-2023 20:30:54,21841.98,,35.517,,,0,0,-7.6808
81,20-01-2023 20:34:02,21891.17,HBAR,35.406,SELL,0.0784,0.0008,10.4125,2.7317
82,20-01-2023 20:37:07,21970.26,,0,,,0,0,2.7317
83,20-01-2023 20:40:13,22149.87,,0,,,0,0,2.7317
84,20-01-2023 20:43:20,22097.14,HOOK,21.315,BUY,1.9431,0.0194,-0.01,2.7217
85,20-01-2023 20:46:27,22109.88,HOOK,20.974,SELL,1.9426,0.0194,-0.0357,2.686
86,20-01-2023 20:49:35,22199.7,,0,,,0,0,2.686
87,20-01-2023 20:52:42,22179.75,ATM,22.713,BUY,3.89,0.0389,-0.01,2.676
88,20-01-2023 20:55:48,22269.59,ATM,22.082,SELL,3.87,0.0387,-0.5241,2.1519
89,20-01-2023 20:58:55,22234.14,APT,23.229,BUY,9.7648,0.0976,-0.01,2.1419
90,20-01-2023 21:02:01,22258.93,APT,22.655,SELL,9.74,0.0974,-0.264,1.8779
91,20-01-2023 21:05:09,22341.83,,0,,,0,0,1.8779
92,20-01-2023 21:08:17,22324.42,HBAR,31.111,BUY,0.0767,0.0008,-0.01,1.8679
93,20-01-2023 21:11:25,22307.86,HBAR,29.452,SELL,0.0756,0.0008,-1.4442,0.4237
94,20-01-2023 21:14:33,22245.51,HOOK,21.861,BUY,1.9304,0.0193,-0.01,0.4137
95,20-01-2023 21:17:40,22279.03,,22.238,,,0,0,0.4137
96,20-01-2023 21:20:46,22253.07,HOOK,21.195,SELL,1.927,0.0193,-0.1861,0.2276
97,20-01-2023 21:23:52,22282.85,,0,,,0,0,0.2276
98,20-01-2023 21:26:57,22265.94,PNT,25.133,BUY,0.1877,0.0019,-0.01,0.2176
99,20-01-2023 21:30:04,22289.19,,26.197,,,0,0,0.2176
100,20-01-2023 21:33:09,22268.83,PNT,25.931,SELL,0.1894,0.0019,0.8957,1.1133
101,20-01-2023 21:36:16,22312.5,,0,,,0,0,1.1133
102,20-01-2023 21:39:22,22327,,0,,,0,0,1.1133
103,20-01-2023 21:42:29,22285.39,APT,24.291,BUY,9.7724,0.0977,-0.01,1.1033
104,20-01-2023 21:45:33,22305.16,,25.095,,,0,0,1.1033
105,20-01-2023 21:48:39,22300.12,,25.283,,,0,0,1.1033
106,20-01-2023 21:51:46,22316.91,,25.315,,,0,0,1.1033
107,20-01-2023 21:54:52,22323.93,,25.592,,,0,0,1.1033
108,20-01-2023 21:57:56,22341.83,,25.935,,,0,0,1.1033
109,20-01-2023 22:01:00,22336.39,,26.465,,,0,0,1.1033
110,20-01-2023 22:04:06,22335.45,,33.745,,,0,0,1.1033
111,20-01-2023 22:07:11,22383.74,,38.801,,,0,0,1.1033
112,20-01-2023 22:10:20,22381.16,APT,37.955,SELL,10.8913,0.1089,11.4396,12.5429
113,20-01-2023 22:13:26,22412.44,,0,,,0,0,12.5429
114,20-01-2023 22:16:34,22411.59,RNDR,28.007,BUY,0.713,0.0071,-0.01,12.5329
115,20-01-2023 22:19:41,22490.07,RNDR,27.469,SELL,0.71,0.0071,-0.4308,12.1021
116,20-01-2023 22:22:48,22600.09,,0,,,0,0,12.1021
117,20-01-2023 22:25:55,22576.11,HBAR,26.51,BUY,0.0754,0.0008,-0.01,12.0921
118,20-01-2023 22:29:03,22537.15,,26.678,,,0,0,12.0921
119,20-01-2023 22:32:10,22561.92,HBAR,26.007,SELL,0.0751,0.0008,-0.4079,11.6842
120,20-01-2023 22:35:17,22602.55,,0,,,0,0,11.6842
121,20-01-2023 22:38:22,22658.72,,0,,,0,0,11.6842
122,20-01-2023 22:41:29,22573.85,PNT,31.126,BUY,0.198,0.002,-0.01,11.6742
123,20-01-2023 22:44:37,22612.1,,31.287,,,0,0,11.6742
124,20-01-2023 22:47:44,22658.52,PNT,30.952,SELL,0.198,0.002,-0.01,11.6642
125,20-01-2023 22:50:52,22586.79,APT,37.81,BUY,10.922,0.1092,-0.01,11.6542
126,20-01-2023 22:53:59,22619.31,,38.167,,,0,0,11.6542
127,20-01-2023 22:57:08,22596.47,APT,37.518,SELL,10.9134,0.1091,-0.0887,11.5655
128,20-01-2023 23:00:15,22596.94,,0,,,0,0,11.5655
129,20-01-2023 23:03:21,22621.14,,0,,,0,0,11.5655
130,20-01-2023 23:06:26,22631.52,,0,,,0,0,11.5655
131,20-01-2023 23:09:35,22616.95,DYDX,30.114,BUY,1.711,0.0171,-0.01,11.5555
132,20-01-2023 23:12:41,22627.16,,30.494,,,0,0,11.5555
133,20-01-2023 23:15:46,22632.13,,30.646,,,0,0,11.5555
134,20-01-2023 23:18:52,22677.94,,31.331,,,0,0,11.5555
135,20-01-2023 23:22:00,22704.35,,31.683,,,0,0,11.5555
136,20-01-2023 23:25:04,22635.72,DYDX,29.909,SELL,1.707,0.0171,-0.2438,11.3117
137,20-01-2023 23:28:12,22671.91,,0,,,0,0,11.3117
138,20-01-2023 23:31:19,22623.08,MAGIC,32.842,BUY,0.9647,0.0096,-0.01,11.3017
139,20-01-2023 23:34:26,22623.86,MAGIC,31.831,SELL,0.9563,0.0096,-0.8807,10.421
140,20-01-2023 23:37:35,22616.06,SKL,30.069,BUY,0.0356,0.0004,-0.01,10.411
141,20-01-2023 23:40:41,22658.74,SKL,30.271,SELL,0.0356,0.0004,-0.0381,10.3729
142,20-01-2023 23:43:53,22655.99,APT,38.671,BUY,10.9417,0.1094,-0.01,10.3629
143,20-01-2023 23:46:56,22653.69,APT,38.256,SELL,10.8943,0.1089,-0.4432,9.9197
144,20-01-2023 23:50:02,22654.34,,0,,,0,0,9.9197
145,20-01-2023 23:53:09,22675.24,,0,,,0,0,9.9197
146,20-01-2023 23:56:17,22684.86,,0,,,0,0,9.9197
147,20-01-2023 23:59:24,22691.51,,0,,,0,0,9.9197
148,21-01-2023 00:02:29,22652.97,DYDX,28.365,BUY,1.688,0.0169,-0.01,9.9097
149,21-01-2023 00:05:35,22665.66,,28.973,,,0,0,9.9097
150,21-01-2023 00:08:41,22745.76,,29.664,,,0,0,9.9097
151,21-01-2023 00:11:46,22494.22,DYDX,26.183,SELL,1.653,0.0165,-2.0835,7.8262
152,21-01-2023 00:14:52,22540.1,,0,,,0,0,7.8262
153,21-01-2023 00:17:58,22492.21,HOOK,28.951,BUY,2.0217,0.0202,-0.01,7.8162
154,21-01-2023 00:21:04,22564.48,HOOK,28.156,SELL,2.01,0.0201,-0.5887,7.2275
155,21-01-2023 00:24:09,22559.07,SKL,31.33,BUY,0.036,0.0004,-0.01,7.2175
156,21-01-2023 00:27:15,22596.92,,30.688,,,0,0,7.2175
157,21-01-2023 00:30:20,22597.61,,30.881,,,0,0,7.2175
158,21-01-2023 00:33:25,22628.04,,31.792,,,0,0,7.2175
159,21-01-2023 00:36:31,22609.24,SKL,31.813,SELL,0.0361,0.0004,0.2119,7.4294
160,21-01-2023 00:39:37,22608.45,APT,42.906,BUY,11.1354,0.1114,-0.01,7.4194
161,21-01-2023 00:42:45,22607.94,,43.659,,,0,0,7.4194
162,21-01-2023 00:45:52,22628.05,,44.808,,,0,0,7.4194
163,21-01-2023 00:48:56,22610.82,APT,44.511,SELL,11.2414,0.1124,0.9419,8.3613
164,21-01-2023 00:52:05,22603.81,MAGIC,29.717,BUY,0.935,0.0094,-0.01,8.3513
165,21-01-2023 00:55:11,22611.01,,30.357,,,0,0,8.3513
166,21-01-2023 00:58:16,22588.52,,31.244,,,0,0,8.3513
167,21-01-2023 01:01:22,22612.47,MAGIC,31.457,SELL,0.9386,0.0094,0.375,8.7264
168,21-01-2023 01:04:29,22595.51,HOOK,35.113,BUY,2.1283,0.0213,-0.01,8.7164
169,21-01-2023 01:07:36,22600.17,,35.13,,,0,0,8.7164
170,21-01-2023 01:10:40,22585.69,HOOK,33.672,SELL,2.1076,0.0211,-0.9826,7.7338
171,21-01-2023 01:13:46,22580.97,SKL,33.735,BUY,0.0366,0.0004,-0.01,7.7238
172,21-01-2023 01:16:53,22589.23,SKL,32.8,SELL,0.0365,0.0004,-0.3103,7.4135
173,21-01-2023 01:19:59,22567.04,APT,40.102,BUY,11.1266,0.1113,-0.01,7.4035
174,21-01-2023 01:23:05,22597.83,,40.832,,,0,0,7.4035
175,21-01-2023 01:26:11,22609.64,APT,37.883,SELL,11.1943,0.1119,0.5985,8.0019
176,21-01-2023 01:29:17,22588.34,MAGIC,29.119,BUY,0.9303,0.0093,-0.01,7.9919
177,21-01-2023 01:32:23,22604.49,MAGIC,28.883,SELL,0.9277,0.0093,-0.2895,7.7024
178,21-01-2023 01:35:29,22604.13,HOOK,30.937,BUY,2.076,0.0208,-0.01,7.6924
179,21-01-2023 01:38:35,22601.19,,30.959,,,0,0,7.6924
180,21-01-2023 01:41:41,22607.96,HOOK,29.922,SELL,2.0898,0.0209,0.6547,8.3472
181,21-01-2023 01:44:48,22589,SKL,34.497,BUY,0.037,0.0004,-0.01,8.3372
182,21-01-2023 01:47:56,22587.78,SKL,33.527,SELL,0.0368,0.0004,-0.5505,7.7866
183,21-01-2023 01:51:04,22565,APT,38.124,BUY,11.1704,0.1117,-0.01,7.7766
184,21-01-2023 01:54:10,22577.74,,38.463,,,0,0,7.7766
185,21-01-2023 01:57:15,22573.29,,38.062,,,0,0,7.7766
186,21-01-2023 02:00:23,22579.77,,38.364,,,0,0,7.7766
187,21-01-2023 02:03:27,22592.03,,37.644,,,0,0,7.7766
188,21-01-2023 02:06:34,22596.79,,38.059,,,0,0,7.7766
189,21-01-2023 02:09:41,22615.44,,39.559,,,0,0,7.7766
190,21-01-2023 02:12:47,22606.66,APT,39.396,SELL,11.2978,0.113,1.1305,8.9072
191,21-01-2023 02:15:53,22607.42,,0,,,0,0,8.9072
192,21-01-2023 02:18:58,22612.5,,0,,,0,0,8.9072
193,21-01-2023 02:22:06,22615.77,,0,,,0,0,8.9072
194,21-01-2023 02:25:11,22616.53,,0,,,0,0,8.9072
195,21-01-2023 02:28:17,22619.84,,0,,,0,0,8.9072
196,21-01-2023 02:31:24,22619.75,MAGIC,29.663,BUY,0.9551,0.0096,-0.01,8.8972
197,21-01-2023 02:34:29,22599,,30.224,,,0,0,8.8972
198,21-01-2023 02:37:36,22600.87,,30.759,,,0,0,8.8972
199,21-01-2023 02:40:41,22580.78,,33.894,,,0,0,8.8972
200,21-01-2023 02:43:48,22590.31,,34.533,,,0,0,8.8972
201,21-01-2023 02:46:55,22573.24,MAGIC,32.839,SELL,0.9765,0.0098,2.2306,11.1278
202,21-01-2023 02:50:02,22531.56,HOOK,42.921,BUY,2.2896,0.0229,-0.01,11.1178
203,21-01-2023 02:53:09,22553.19,HOOK,41.928,SELL,2.2717,0.0227,-0.7918,10.326
204,21-01-2023 02:56:17,22550.99,SKL,34.702,BUY,0.0371,0.0004,-0.01,10.316
205,21-01-2023 02:59:22,22546.77,SKL,33.37,SELL,0.0369,0.0004,-0.6035,9.7125
206,21-01-2023 03:02:29,22550.52,,0,,,0,0,9.7125
207,21-01-2023 03:05:34,22548.65,APT,38.961,BUY,11.1244,0.1112,-0.01,9.7025
208,21-01-2023 03:08:41,22549.74,,38.97,,,0,0,9.7025
209,21-01-2023 03:11:48,22531.25,APT,38.711,SELL,11.1274,0.1113,0.017,9.7195
210,21-01-2023 03:14:56,22506.24,MAGIC,28.873,BUY,0.94,0.0094,-0.01,9.7095
211,21-01-2023 03:18:01,22539.84,,30.236,,,0,0,9.7095
212,21-01-2023 03:21:07,22543.68,MAGIC,29.014,SELL,0.9369,0.0094,-0.3398,9.3697
213,21-01-2023 03:24:14,22561,,0,,,0,0,9.3697
214,21-01-2023 03:27:21,22558.16,HOOK,39.672,BUY,2.2402,0.0224,-0.01,9.3597
215,21-01-2023 03:30:29,22557.06,,41.32,,,0,0,9.3597
216,21-01-2023 03:33:37,22537.43,HOOK,39.579,SELL,2.2401,0.0224,-0.0145,9.3452
217,21-01-2023 03:36:41,22556.41,,0,,,0,0,9.3452
218,21-01-2023 03:39:48,22555.05,SKL,33.707,BUY,0.0369,0.0004,-0.01,9.3352
219,21-01-2023 03:42:52,22560.75,,33.55,,,0,0,9.3352
220,21-01-2023 03:45:58,22558.51,SKL,33.707,SELL,0.0369,0.0004,-0.01,9.3252
221,21-01-2023 03:49:05,22547.95,APT,40.767,BUY,11.3223,0.1132,-0.01,9.3152
222,21-01-2023 03:52:13,22545,APT,40.257,SELL,11.2817,0.1128,-0.3686,8.9466
223,21-01-2023 03:55:19,22547.03,,0,,,0,0,8.9466
224,21-01-2023 03:58:25,22552.46,,0,,,0,0,8.9466
225,21-01-2023 04:01:32,22559.48,,0,,,0,0,8.9466
226,21-01-2023 04:04:40,22526.39,MAGIC,28.988,BUY,0.93,0.0093,-0.01,8.9366
227,21-01-2023 04:07:48,22546.69,,28.92,,,0,0,8.9366
228,21-01-2023 04:10:53,22557.84,,28.92,,,0,0,8.9366
229,21-01-2023 04:13:58,22564.85,,28.741,,,0,0,8.9366
230,21-01-2023 04:17:04,22574.67,MAGIC,27.416,SELL,0.9244,0.0092,-0.6122,8.3245
231,21-01-2023 04:20:08,22580.25,,0,,,0,0,8.3245
232,21-01-2023 04:23:13,22599.08,,0,,,0,0,8.3245
233,21-01-2023 04:26:18,22606.19,,0,,,0,0,8.3245
234,21-01-2023 04:29:22,22609.74,,0,,,0,0,8.3245
235,21-01-2023 04:32:29,22610.15,,0,,,0,0,8.3245
236,21-01-2023 04:35:36,22611.34,,0,,,0,0,8.3245
237,21-01-2023 04:38:43,22614.44,,0,,,0,0,8.3245
238,21-01-2023 04:41:49,22630.78,,0,,,0,0,8.3245
239,21-01-2023 04:44:54,22629.01,UNFI,29.537,BUY,5.596,0.056,-0.01,8.3145
240,21-01-2023 04:47:59,22607.52,UNFI,28.419,SELL,5.549,0.0555,-0.8499,7.4646
241,21-01-2023 04:51:06,22620.51,,0,,,0,0,7.4646
242,21-01-2023 04:54:12,22598.89,SKL,33.601,BUY,0.0366,0.0004,-0.01,7.4546
243,21-01-2023 04:57:17,22584.72,,33.358,,,0,0,7.4546
244,21-01-2023 05:00:24,22602.2,,33.079,,,0,0,7.4546
245,21-01-2023 05:03:30,22599.63,SKL,32.789,SELL,0.0366,0.0004,-0.0373,7.4173
246,21-01-2023 05:06:36,22585.6,APT,41.904,BUY,11.2391,0.1124,-0.01,7.4073
247,21-01-2023 05:09:43,22585.79,APT,41.119,SELL,11.2023,0.112,-0.3374,7.0698
248,21-01-2023 05:12:50,22584.89,MAGIC,28.162,BUY,0.9425,0.0094,-0.01,7.0598
249,21-01-2023 05:15:55,22578.5,,28.055,,,0,0,7.0598
250,21-01-2023 05:19:01,22581.38,,28.041,,,0,0,7.0598
251,21-01-2023 05:22:07,22575.44,MAGIC,27.886,SELL,0.9461,0.0095,0.372,7.4318
252,21-01-2023 05:25:13,22606.22,,0,,,0,0,7.4318
253,21-01-2023 05:28:19,22611.62,,0,,,0,0,7.4318
254,21-01-2023 05:31:25,22600.54,OP,28.426,BUY,2.277,0.0228,-0.01,7.4218
255,21-01-2023 05:34:31,22595.92,,28.701,,,0,0,7.4218
256,21-01-2023 05:37:37,22585.74,,29.056,,,0,0,7.4218
257,21-01-2023 05:40:43,22586.56,OP,29.145,SELL,2.282,0.0228,0.2096,7.6314
258,21-01-2023 05:43:49,22596.15,,0,,,0,0,7.6314
259,21-01-2023 05:46:56,22587.16,SKL,33.236,BUY,0.0365,0.0004,-0.01,7.6214
260,21-01-2023 05:50:02,22581.89,,33.103,,,0,0,7.6214
261,21-01-2023 05:53:08,22575.3,,33.382,,,0,0,7.6214
262,21-01-2023 05:56:13,22575.69,,33.82,,,0,0,7.6214
263,21-01-2023 05:59:19,22567.94,,34.246,,,0,0,7.6214
264,21-01-2023 06:02:25,22558.2,SKL,32.786,SELL,0.0364,0.0004,-0.4207,7.2007
265,21-01-2023 06:05:30,22562.33,,0,,,0,0,7.2007
266,21-01-2023 06:08:38,22580.45,,0,,,0,0,7.2007
267,21-01-2023 06:11:46,22571.9,APT,42.619,BUY,11.1859,0.1119,-0.01,7.1907
268,21-01-2023 06:14:54,22592.87,,43.101,,,0,0,7.1907
269,21-01-2023 06:18:00,22591.17,,43.719,,,0,0,7.1907
270,21-01-2023 06:21:08,22595.05,,45.091,,,0,0,7.1907
271,21-01-2023 06:24:14,22594.61,,45.286,,,0,0,7.1907
272,21-01-2023 06:27:20,22601.48,,46.045,,,0,0,7.1907
273,21-01-2023 06:30:23,22603.76,APT,45.875,SELL,11.5301,0.1153,3.0671,10.2578
274,21-01-2023 06:33:27,22616.81,,0,,,0,0,10.2578
275,21-01-2023 06:36:35,22598.87,DYDX,29.066,BUY,1.714,0.0171,-0.01,10.2478
276,21-01-2023 06:39:44,22608,,29.669,,,0,0,10.2478
277,21-01-2023 06:42:52,22611.5,,30.392,,,0,0,10.2478
278,21-01-2023 06:45:57,22607.87,DYDX,29.97,SELL,1.726,0.0173,0.6901,10.9379
279,21-01-2023 06:49:06,22597.19,OP,29.786,BUY,2.305,0.0231,-0.01,10.9279
280,21-01-2023 06:52:14,22612.47,,30.467,,,0,0,10.9279
281,21-01-2023 06:55:20,22617.76,,32.169,,,0,0,10.9279
282,21-01-2023 06:58:26,22620.31,,33.672,,,0,0,10.9279
283,21-01-2023 07:01:33,22610.32,,35.248,,,0,0,10.9279
284,21-01-2023 07:04:40,22619.07,OP,35.191,SELL,2.401,0.024,4.1549,15.0827
285,21-01-2023 07:07:46,22618.69,SKL,31.807,BUY,0.036,0.0004,-0.01,15.0727
286,21-01-2023 07:10:52,22621.33,,32.466,,,0,0,15.0727
287,21-01-2023 07:13:55,22617.48,SKL,32.574,SELL,0.0361,0.0004,0.3514,15.4241
288,21-01-2023 07:17:01,22626.45,,0,,,0,0,15.4241
289,21-01-2023 07:20:08,22625.25,APT,59.185,BUY,12.646,0.1265,-0.01,15.4141
290,21-01-2023 07:23:14,22640.84,,60.132,,,0,0,15.4141
291,21-01-2023 07:26:20,22649.32,APT,56.609,SELL,12.4916,0.1249,-1.2309,14.1832
292,21-01-2023 07:29:28,22635.56,PNT,32.778,BUY,0.1993,0.002,-0.01,14.1732
293,21-01-2023 07:32:34,22616.34,,32.848,,,0,0,14.1732
294,21-01-2023 07:35:41,22616.97,PNT,30.653,SELL,0.1982,0.002,-0.5619,13.6113
295,21-01-2023 07:38:48,22628.58,,0,,,0,0,13.6113
296,21-01-2023 07:41:53,22644.93,,0,,,0,0,13.6113
297,21-01-2023 07:45:00,22646.36,,0,,,0,0,13.6113
298,21-01-2023 07:48:06,22639.55,OP,34.438,BUY,2.393,0.0239,-0.01,13.6013
299,21-01-2023 07:51:13,22644.92,,34.851,,,0,0,13.6013
300,21-01-2023 07:54:18,22620.03,OP,33.352,SELL,2.367,0.0237,-1.0965,12.5048
301,21-01-2023 07:57:24,22640.52,,0,,,0,0,12.5048
302,21-01-2023 08:00:30,22629.49,SKL,30.851,BUY,0.0357,0.0004,-0.01,12.4948
303,21-01-2023 08:03:35,22651.79,SKL,30.451,SELL,0.0356,0.0004,-0.2062,12.2885
304,21-01-2023 08:06:40,22673.99,,0,,,0,0,12.2885
305,21-01-2023 08:09:45,22695.4,,0,,,0,0,12.2885
306,21-01-2023 08:12:52,22727.99,,0,,,0,0,12.2885
307,21-01-2023 08:15:57,22714.5,APT,59.476,BUY,12.6318,0.1263,-0.01,12.2785
308,21-01-2023 08:19:05,22727.18,APT,59.198,SELL,12.6161,0.1262,-0.1343,12.1442
309,21-01-2023 08:22:12,22690.93,HOOK,29.94,BUY,2.3909,0.0239,-0.01,12.1342
310,21-01-2023 08:25:17,22686.13,HOOK,28.732,SELL,2.3545,0.0235,-1.5324,10.6018
311,21-01-2023 08:28:24,22682.77,OP,32.824,BUY,2.347,0.0235,-0.01,10.5918
312,21-01-2023 08:31:29,22694.88,,33.014,,,0,0,10.5918
313,21-01-2023 08:34:36,22697.29,,33.315,,,0,0,10.5918
314,21-01-2023 08:37:41,22723.76,,33.747,,,0,0,10.5918
315,21-01-2023 08:40:46,22733.63,,33.615,,,0,0,10.5918
316,21-01-2023 08:43:52,22772.28,OP,33.634,SELL,2.372,0.0237,1.0552,11.647
317,21-01-2023 08:47:00,22737.92,API3,36.71,BUY,1.687,0.0169,-0.01,11.637
318,21-01-2023 08:50:05,22736.53,,37.085,,,0,0,11.637
319,21-01-2023 08:53:10,22710.77,API3,35.089,SELL,1.667,0.0167,-1.1955,10.4414
320,21-01-2023 08:56:16,22725.23,,0,,,0,0,10.4414
321,21-01-2023 08:59:23,22700,APT,56.334,BUY,12.3787,0.1238,-0.01,10.4314
322,21-01-2023 09:02:30,22720.39,APT,54.634,SELL,12.2733,0.1227,-0.8615,9.57
323,21-01-2023 09:05:36,22718.1,OCEAN,34.509,BUY,0.3547,0.0035,-0.01,9.56
